Total.Income,Ave.Stroke,Ave.putting,Ave.birdie,GIR,Par.save,Par.break,Recovery.rate
9621250,71.73,30.87,17.78,75.93,85.19,18.15,46.15
9532238,71.83,30.5,17.9,72.84,84.57,17.9,61.36
3298616,74.56,30.07,12.08,57.41,77.13,12.08,55.77
5629375,73.07,32.05,14.36,74.53,82.52,14.5,54.79
4494359,73.87,31.37,11.72,67.62,80.56,11.89,52.55
3667778,74.2,31.02,11.11,64.34,79.1,11.11,53.27
3920152,73.71,30.85,13.44,65.41,79.3,13.53,53.89
4080167,74.35,30.7,13.67,63.76,78.13,13.76,50.12
4826813,74.33,31,12.66,64.21,77.96,12.66,53.69
6176667,73.13,31.54,15.62,72.37,81.08,15.92,51.09
3860185,74.89,31.94,11.73,66.84,76.63,11.82,44.68
3857407,74.02,30.79,13.79,66.25,79.53,13.89,50.62
4334750,74.4,30.52,12.3,62.35,79.86,12.4,52.73
4730965,75.32,31.75,12.04,65.12,75.82,12.14,43.95
4111042,73.55,31.1,13.01,66.93,81.19,13.01,52.34
3482407,74.86,31.02,12.28,62.19,75.99,12.28,50.95
3410687,74.56,30.61,11.02,61.2,78.13,11.11,52.5
3301880,74.88,31.21,11.78,63.41,77.59,11.78,51.31
4031913,73.37,31,13.64,67.19,81.31,13.64,53.97
4447778,74.26,30.69,13.19,64.88,79.76,13.19,49.44
3202500,74.5,30.87,12.3,63.3,78.32,12.3,52.85
4219667,75.6,29.86,11.64,54.25,74.53,11.64,48.57
3146875,74.9,31.3,10.15,62.61,77.14,10.26,51.71
4589333,74.82,31.44,10.91,66.07,78.67,10.91,48.54
3167857,75.27,30.91,10.82,59.84,74.66,10.82,48.79
3527222,75.21,32.13,12.86,66.46,75.1,13.17,41.72
3382778,74.47,31.48,12.64,65.83,77.92,12.64,47.97
19333333,73.5,26.25,16.67,44.44,77.78,16.67,65
2740000,75.34,30.66,11.87,60.65,77.02,11.87,46.47
4792313,73.05,29.65,14.44,62.5,80.83,14.72,62.22
3828000,75.06,31.53,8.44,62.18,77.46,8.44,51.69
3459000,75.33,31.2,11.51,61.21,75.89,11.51,48.59
4016250,75.43,32.43,9.98,63.48,75.21,9.98,47.32
2991000,74.86,32.38,11.89,67.31,76.36,11.89,46.64
2429167,75.85,31.54,8.91,60.27,74.53,8.91,45.65
4777500,73.75,32,13.61,71.11,79.72,13.61,47.12
2862000,75.89,32.02,10.61,61.72,73.33,10.61,44.33
3442500,74.89,31.51,10.62,64.04,76.98,10.71,46.63
3166740,74.33,30.79,13.33,65.11,78.67,13.33,45.86
4066062,74.06,32.31,10.76,70.14,79.17,11.11,54.65
2788750,75.44,31.67,9.19,62.12,75.66,9.29,50.93
3640000,76.12,31.22,11.24,60.05,73.02,11.38,43.05
5407917,75.48,32.57,9.03,64.54,74.77,9.26,50.67
5228125,70.5,30.5,19.44,76.85,90.74,19.44,72
4882500,75.09,31.53,10.46,62.42,75.16,10.46,52.17
9666667,71.01,29.67,20.37,70.37,87.04,20.37,50
4572821,73.17,30.33,17.59,68.52,80.56,17.59,47.06
4100147,73.17,31.5,11.11,77.78,85.19,11.11,41.67
2700000,75.42,31.46,11.25,62.74,74.53,11.25,46.91
3897500,76,30.72,10.42,58.33,74.77,10.65,46.67
3657500,74.95,30.21,12.5,57.88,75,12.63,50.31
3575000,73.45,31.27,13.64,68.69,82.32,13.64,51.61
3342500,74.68,31.44,10.04,63.03,76.71,10.04,45.66
3282500,74.63,30.38,14.58,58.33,74.31,14.58,55
3277500,76.35,30.55,10.65,54.55,73.61,11.11,40
3198208,74.33,31.33,12.96,64.81,77.78,12.96,57.89
3170000,75.58,31.89,10.82,63.74,73.39,11.11,41.94
3097843,74.67,29.83,12.96,61.11,77.78,12.96,47.62
2832500,75.9,31.81,9.3,62.22,74.76,9.42,43.46
2689488,75.33,28.67,16.67,52.78,71.3,16.67,47.06
5320000,74.6,32.8,8.89,72.22,78.89,8.89,52
2626988,75.67,32,18.52,57.41,70.37,18.52,43.48
2425000,76,31.72,9.26,61.94,75.79,9.26,45.62
2237500,76.28,33.62,9.37,67.86,72.66,9.37,38.31
4360000,75.86,31.93,9.52,60.32,73.02,9.52,53
4300000,74.8,33.4,14.81,83.33,83.33,14.81,44.44
4078187,74.2,30.8,16.67,61.11,75.56,16.67,48.57
4075000,69.67,30,29.63,83.33,90.74,29.63,66.67
3925000,72,30.33,12.96,70.37,87.04,12.96,56.25
3870000,75.97,32.09,9.88,62.5,73.46,9.88,46.09
3870000,72.67,29.33,22.22,64.81,79.63,22.22,63.16
3690000,72.67,30.67,25.93,70.37,75.93,25.93,37.5
3640000,75.25,32.75,9.72,68.06,73.61,9.72,39.13
3303245,75.6,30.8,8.33,55.56,58.33,8.33,18.75
3270000,73.33,31,12.96,70.37,83.33,12.96,56.25
2925000,75.33,30.33,16.67,55.56,72.22,16.67,50
2880000,73.67,32.33,16.67,75.93,77.78,16.67,53.85
2575925,77,35,11.11,52.78,58.33,11.11,23.53
2500000,76.81,31.54,8.4,61.64,74.94,8.53,45.86
2300000,78,32.4,7.41,66.67,72.22,7.41,33.33
2181960,76.38,31.52,11.48,60.19,71.85,11.48,40
25577156,71.55,30.56,17.86,75.11,86.51,17.96,58.37
23460837,71.73,30.8,17.76,75.05,85.02,17.76,53.85
23417836,71.84,31.11,15.38,76,86.51,15.48,60.26
21874348,71.74,30.97,18.01,75.29,84.48,18.3,55.04
18227205,71.74,31.53,16.57,78.64,86.59,16.86,59.19
19930144,72.44,30.95,15.76,73.43,84.14,15.86,57.79
300000000,69.75,28.75,25,75,88.89,25,72.22
15202296,72.32,31.49,17.04,78.17,84.17,17.04,48.21
13231390,72.13,29.9,16.94,68.1,83.88,16.94,60.06
13890049,72.57,31.79,15.42,76.63,83.62,15.52,52.46
20182746,73.15,31.9,13.79,74.62,82.3,14.2,50.64
13799405,72.74,31.18,16.06,73.2,82.93,16.16,54.88
11946778,71.76,30.24,16.57,71.41,85.97,16.67,65.02
11325471,71.84,31.43,17.67,79.02,85.25,17.76,52.51
15019046,72.08,30.75,17.1,72.55,83.77,17.32,56.35
11369626,72.4,30.83,16.67,72.7,83.72,16.76,56.14
11213303,72.71,30.88,15.44,71.83,83.71,15.44,57.75
12227522,72.46,30.87,13.89,72.12,85.12,14.09,62.78
9721727,72.42,31.2,17.51,75.99,83.24,17.7,45.45
10847190,73.2,31.19,14.55,70.62,80.81,14.65,49.82
9094393,72.25,30.61,15.91,71.63,85.22,16.01,61.89
8652736,72.81,31.87,14.46,74.14,81.9,14.56,48.83
12424705,73.72,30.26,11.59,62.44,82,11.71,63.02
9803416,72.87,31.25,14.53,72.22,82.91,14.64,55.77
9770700,72.74,31.14,15.54,73.53,83.85,15.84,54.32
7638544,72.97,31.39,15.28,72.51,81.39,15.37,51.77
8529436,73.11,29.91,13.84,63.33,81.52,14.04,58.13
67224000,70,28.86,28.57,73.81,84.92,28.57,63.64
10308784,73.23,30.5,15.53,67.36,81.07,15.53,50
6904837,73.48,30.87,13.89,68.79,81.32,14.18,52.75
9366791,73.92,31.88,10.89,70.33,80.56,11,50.19
6901769,73.22,29.87,15.76,64.34,80.3,15.76,56.66
6416932,72.66,31.79,15.25,75.99,83.14,15.25,50
5943529,72.64,31.48,13.47,73.31,84.65,13.47,60.22
7356500,73.58,30.65,15.6,66.99,79.06,15.81,53.4
8456528,73.69,30.81,13.73,67.59,80.28,13.73,53.21
5968005,73,31.09,16.01,72.22,81.73,16.29,53.93
5547380,72.88,31.36,14.43,71.43,82.26,14.52,55.9
5859403,73.19,31.07,14.91,70.58,81.68,14.91,55.59
5486921,73.1,31.5,15.33,73.41,82.09,15.33,49.25
48000000,69.71,29.14,27.78,75.4,87.3,27.78,51.61
